user_id,action_date,action_name,error_message,device
1,2022-09-07,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
2,2022-07-08,checkout_annual_completepayment.click.fail,"number field is required",desktop
5,2022-08-22,checkout_annual_completepayment.click.fail,"number field is required",desktop
10,2022-08-23,courseslanding_start_now.click,NULL,desktop
20,2022-07-12,courseslanding_start_now.click,NULL,desktop
39,2022-11-22,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
45,2022-11-08,courseslanding_start_now.click,NULL,desktop
164,2023-01-28,courseslanding_start_now.click,NULL,desktop
182,2022-07-11,checkout_monthly_completepayment.click.fail,"Your card has insufficient funds.",desktop
209,2022-10-14,courseslanding_start_now.click,NULL,mobile
238,2023-01-28,courseslanding_start_now.click,NULL,desktop
278,2022-11-24,checkout_annual_completepayment.click.success,NULL,desktop
519,2022-11-21,checkout_annual_completepayment.click.success,NULL,desktop
525,2022-07-09,courseslanding_start_now.click,NULL,desktop
558,2022-11-23,checkout_annual_completepayment.click.fail,"number field is required",desktop
659,2022-10-14,courseslanding_start_now.click,NULL,desktop
699,2022-08-24,courseslanding_start_now.click,NULL,desktop
768,2022-07-20,checkout_annual_completepayment.click.success,NULL,desktop
865,2022-07-11,courseslanding_start_now.click,NULL,desktop
912,2022-11-10,courseslanding_start_now.click,NULL,mobile
948,2022-11-27,checkout_annual_completepayment.click.fail,"year field is required",desktop
978,2022-11-28,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile
1039,2023-01-30,checkout_monthly_completepayment.click.success,NULL,desktop
1253,2022-07-26,courseslanding_start_now.click,NULL,desktop
1294,2022-10-19,courseslanding_start_now.click,NULL,desktop
1306,2022-10-22,courseslanding_start_now.click,NULL,mobile
1311,2022-08-23,courseslanding_start_now.click,NULL,mobile
1374,2022-10-29,checkout_monthly_completepayment.click.success,NULL,desktop
1392,2022-10-21,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile
1395,2022-10-14,courseslanding_start_now.click,NULL,mobile
1410,2022-11-27,checkout_annual_completepayment.click.success,NULL,desktop
1426,2022-11-24,checkout_annual_completepayment.click.fail,"year field is required",desktop
1436,2022-09-08,checkout_monthly_completepayment.click.fail,"Your card was declined.",mobile
1437,2023-01-28,courseslanding_start_now.click,NULL,desktop
1462,2022-08-01,courseslanding_start_now.click,NULL,desktop
1469,2022-12-20,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
1482,2022-08-22,checkout_annual_completepayment.click.success,NULL,desktop
1486,2022-08-25,checkout_monthly_completepayment.click.success,NULL,desktop
1490,2022-11-16,courseslanding_start_now.click,NULL,desktop
1516,2023-01-27,checkout_annual_completepayment.click.fail,"year field is required",mobile
1562,2022-10-14,courseslanding_start_now.click,NULL,mobile
1567,2022-07-02,courseslanding_start_now.click,NULL,mobile
1600,2023-01-27,courseslanding_start_now.click,NULL,desktop
1641,2022-08-18,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
1713,2022-12-01,checkout_annual_completepayment.click.success,NULL,desktop
1774,2022-10-01,courseslanding_start_now.click,NULL,desktop
