user_id,action_date
238,2022-11-17
278,2022-11-24
519,2022-09-02
558,2022-11-23
624,2022-08-11
768,2022-07-20
948,2022-11-27
1039,2023-01-30
1102,2022-11-22
1107,2022-09-21
1156,2023-03-10
1212,2023-03-14
1215,2022-10-08
1249,2022-10-14
1306,2022-10-20
1374,2022-10-29
1379,2022-11-22
1410,2022-11-27
1436,2022-09-08
1503,2022-09-12
1516,2023-01-27
1546,2022-07-25
1562,2022-11-30
1641,2022-08-18
1702,2022-08-30
1765,2023-03-31
1769,2023-03-27
1791,2022-07-26
1864,2022-09-05
2035,2022-08-09
2075,2022-12-01
2093,2022-07-06
2104,2022-07-01
2134,2023-01-24
2185,2022-11-30
2188,2022-07-03
2249,2022-11-22
2294,2023-01-07
2295,2022-12-09
2353,2022-08-03
2529,2022-11-27
2555,2023-01-21
2600,2022-10-27
2617,2022-11-27
2688,2022-11-28
2701,2022-07-16
2724,2022-11-29
2834,2022-08-29
2840,2023-01-17
2878,2022-11-24
2922,2022-07-26
3002,2022-09-20
3152,2022-07-01
3225,2022-08-29
3297,2022-12-29
3304,2022-08-23
3310,2022-10-17
3320,2022-12-19
3333,2022-07-26
3360,2022-07-22
3395,2023-01-26
3426,2022-10-21
3577,2023-03-04
3595,2022-11-28
3599,2022-11-27
3643,2022-07-10
3718,2022-11-21
3747,2022-09-12
3896,2022-11-02
3942,2022-11-16
4013,2022-10-25
4016,2022-07-27
4162,2022-11-28
4167,2022-09-15
4303,2023-01-08
4340,2022-07-27
4347,2023-01-14
4356,2022-11-23
4404,2022-08-23
4435,2022-09-15
4439,2022-09-22
4452,2023-03-24
4560,2022-07-08
4723,2022-08-31
4751,2022-11-19
4826,2023-01-27
5016,2022-07-26
5135,2022-11-22
5212,2023-03-29
5554,2022-10-07
5749,2023-03-14
5790,2022-11-26
5834,2023-02-01
5939,2022-12-02
5955,2023-02-11
5974,2022-07-21
6026,2022-08-12
6227,2022-10-25
6233,2022-09-22
6239,2022-07-26
6359,2022-09-20
6408,2023-03-30
6505,2023-01-18
6657,2022-12-21
6743,2023-03-23
6907,2022-11-21
6957,2022-12-02
7034,2022-12-27
7065,2023-02-11
7127,2022-08-31
7179,2022-08-31
7247,2022-07-20
7278,2022-11-28
7282,2022-12-27
7488,2022-07-21
7620,2022-11-21
7962,2023-03-11
8077,2022-08-13
8191,2022-07-08
9061,2022-08-22
9100,2023-01-19
9174,2023-01-30
9289,2022-09-08
9372,2022-07-28
9500,2022-11-26
9666,2022-07-06
9989,2023-02-07
10051,2022-12-02
10107,2023-01-22
10218,2022-11-21
10313,2022-09-02
10658,2022-07-18
10838,2023-01-08
10842,2022-11-24
10905,2022-11-26
10990,2022-12-29
11122,2023-02-17
11145,2023-02-02
11345,2022-10-17
11353,2022-12-01
11530,2023-03-15
11717,2022-11-23
11937,2022-11-27
12064,2022-11-30
12205,2022-11-21
12270,2023-01-11
12400,2023-02-16
12589,2022-12-20
12900,2022-08-04
12930,2022-11-21
13022,2022-11-24
13209,2023-01-18
13344,2022-07-28
13501,2022-08-31
14357,2022-09-19
14415,2023-02-02
14463,2023-03-27
14470,2022-11-27
14514,2022-11-22
14606,2022-11-05
14662,2023-02-21
15012,2022-11-26
15500,2023-01-24
15630,2022-11-28
16169,2023-03-01
16589,2023-01-12
16647,2022-10-10
16807,2022-08-08
17562,2022-12-26
17598,2022-11-30
17780,2022-08-18
18005,2022-11-20
18049,2022-07-17
18159,2022-10-25
18288,2022-09-25
18378,2022-11-28
18533,2022-11-27
19137,2022-11-28
19259,2022-11-15
19389,2022-11-28
20134,2023-03-25
20355,2023-03-03
20435,2022-07-18
20664,2022-09-10
20925,2022-10-25
21603,2022-11-22
21801,2022-11-28
22887,2022-11-22
23287,2022-10-26
23292,2023-03-24
23461,2022-12-06
23609,2022-12-02
24483,2022-09-27
24540,2022-12-01
24541,2022-09-09
24687,2022-11-27
24762,2022-12-14
24948,2023-02-24
25047,2022-07-21
25665,2023-02-15
25813,2022-11-22
25985,2022-12-02
27160,2022-09-15
27180,2022-11-24
27453,2022-11-28
27544,2022-11-03
27587,2022-07-18
28960,2022-11-23
29545,2022-11-22
30047,2022-07-14
32055,2022-11-26
32529,2022-12-05
32555,2022-10-21
33495,2022-09-19
34689,2023-02-14
34912,2023-01-19
37015,2022-11-30
37061,2022-11-29
37614,2022-11-28
37777,2022-11-21
37828,2023-03-30
39164,2022-11-26
40735,2022-07-28
40867,2022-11-30
41191,2023-02-17
41200,2023-01-22
41892,2022-07-08
42421,2023-02-23
42831,2022-10-02
43005,2022-11-24
43291,2023-01-05
43604,2022-09-02
46026,2022-07-29
48559,2022-07-29
51418,2023-01-28
51495,2022-09-20
53122,2022-07-26
53862,2022-11-26
55550,2023-02-14
55809,2022-12-04
55922,2023-02-08
56469,2022-09-25
57613,2022-09-30
57761,2022-11-29
58456,2022-08-15
63561,2022-11-24
63774,2022-12-01
64065,2022-08-08
67232,2022-11-01
67377,2022-08-05
67636,2022-11-22
71559,2023-01-19
71856,2022-11-06
71957,2022-11-09
72771,2023-01-29
73520,2022-11-22
73977,2022-11-26
74256,2023-03-24
76939,2022-10-21
78149,2022-11-27
79080,2023-02-01
82563,2023-03-03
83266,2022-07-25
84076,2022-11-28
84548,2022-12-25
84641,2022-12-16
85401,2022-07-28
88208,2023-01-21
89305,2022-12-02
89663,2022-11-25
89972,2022-11-07
91128,2022-07-26
91718,2022-11-06
93592,2023-02-23
95433,2022-11-27
98065,2022-12-02
100706,2022-11-26
102023,2022-11-28
102435,2023-01-17
104448,2023-02-06
105609,2022-07-26
105951,2023-01-26
106157,2022-11-27
108970,2023-01-02
109318,2022-11-21
111461,2022-09-06
111658,2023-02-05
112053,2022-11-21
112725,2022-08-25
113542,2022-10-13
116991,2022-12-01
117652,2022-11-21
118426,2022-10-19
120485,2023-01-02
121136,2023-03-04
121812,2022-11-25
121956,2022-11-20
122477,2022-09-28
122945,2022-08-27
123128,2022-10-19
123905,2022-07-05
124301,2022-10-06
124955,2023-01-09
125191,2022-12-11
126002,2022-11-21
126202,2023-03-23
126324,2022-12-15
126406,2022-07-03
127258,2022-10-11
127746,2022-11-28
131373,2022-07-21
132017,2023-01-24
132742,2022-11-22
133426,2022-11-22
134064,2022-07-06
136851,2022-11-25
137258,2023-03-24
137618,2022-11-20
138013,2022-10-31
138927,2022-07-18
139170,2022-09-09
139273,2022-07-15
139592,2022-08-18
140715,2023-01-06
142328,2022-07-18
142814,2022-12-14
143010,2022-09-20
143214,2022-11-22
143343,2022-09-17
143388,2023-03-21
143392,2023-03-28
143432,2022-07-25
143454,2022-09-01
143561,2022-07-30
143656,2022-08-31
143709,2022-10-09
143785,2022-07-25
143885,2023-01-19
144322,2022-11-25
144398,2022-08-08
144679,2022-11-29
144842,2022-11-30
145037,2022-10-02
145177,2023-01-03
145185,2022-10-04
145202,2022-11-09
145243,2022-08-30
145434,2022-07-20
145723,2022-08-28
145747,2023-01-02
145768,2022-09-15
145813,2022-08-21
146149,2022-12-16
146322,2022-11-30
146399,2022-11-20
146447,2022-11-28
146503,2022-08-31
146603,2022-11-18
146625,2022-11-29
146906,2022-11-18
146968,2022-12-01
146991,2022-11-29
147033,2022-12-01
147048,2023-02-05
147197,2022-12-06
147200,2023-03-21
147305,2022-10-17
147656,2022-08-09
147877,2023-03-11
147993,2022-11-27
148290,2022-12-02
148652,2022-11-20
148685,2023-03-14
148775,2022-08-13
148901,2023-03-04
149048,2022-09-03
149472,2022-11-03
149652,2022-11-18
150117,2022-11-30
150260,2023-02-24
150291,2022-08-20
150335,2023-01-27
150418,2023-01-30
150478,2022-09-24
150745,2022-11-22
150806,2022-07-31
151279,2022-12-29
151522,2022-07-23
152002,2023-01-18
152127,2022-11-08
152211,2022-12-26
152378,2022-11-28
152505,2022-09-27
152882,2023-01-23
153006,2023-03-01
153034,2022-09-23
153160,2023-01-25
153741,2022-09-17
153942,2022-12-03
153987,2022-08-14
154101,2022-09-02
154130,2022-11-01
154458,2022-11-28
154751,2022-11-26
154821,2022-11-22
155640,2022-07-11
155712,2022-09-22
155845,2022-07-28
156038,2022-07-06
156074,2022-08-15
156233,2022-12-01
156327,2023-02-21
156406,2022-07-27
156428,2023-01-23
156453,2022-11-22
156534,2023-02-14
156614,2022-08-22
156660,2022-10-03
156680,2022-09-12
156753,2022-07-29
156880,2023-02-22
156896,2023-02-27
156941,2022-11-15
157143,2022-08-06
157144,2022-11-19
157226,2022-11-23
157243,2022-11-09
157476,2023-02-02
157669,2022-11-16
157722,2022-09-08
157791,2022-11-23
157977,2022-07-26
158113,2023-01-03
158196,2022-11-22
158529,2022-12-03
158591,2022-07-24
158612,2023-01-28
158724,2022-08-04
158970,2022-11-08
159195,2022-08-12
159861,2022-10-27
159914,2022-09-28
160074,2022-08-18
160366,2022-11-24
160528,2023-03-29
160735,2022-12-07
160857,2022-08-11
160894,2023-02-26
160929,2022-11-07
161053,2022-11-28
161329,2023-01-17
161338,2022-11-22
161426,2023-01-08
161434,2022-08-25
161471,2022-11-28
161523,2023-03-03
161626,2022-10-28
161640,2022-09-23
161650,2023-01-21
161742,2022-11-28
161862,2023-01-29
161941,2022-08-15
162012,2022-10-21
162037,2023-01-19
162320,2022-07-01
162339,2023-01-06
162545,2023-03-23
162633,2022-11-17
163143,2022-12-01
163376,2022-08-11
163415,2022-09-07
163475,2022-11-28
163545,2022-12-24
163914,2022-09-10
163918,2022-09-11
164050,2023-02-15
164059,2022-08-23
164645,2022-08-19
164792,2023-03-17
165684,2022-10-07
165773,2022-11-06
165815,2022-11-28
165932,2022-10-16
166145,2022-09-27
166225,2022-11-27
166282,2022-09-22
166399,2022-08-07
166492,2022-08-18
166804,2023-02-07
166837,2022-07-04
166961,2022-12-21
167083,2022-12-21
167101,2022-09-26
167392,2022-08-31
167551,2022-11-24
168059,2022-12-12
168147,2022-11-03
168573,2022-12-18
168577,2022-11-21
168753,2022-09-28
168955,2022-12-19
169371,2022-07-29
169382,2022-11-21
169537,2023-01-18
169942,2022-08-28
169991,2022-07-06
170085,2022-08-18
170343,2022-10-04
170367,2022-11-23
170743,2022-09-21
170750,2022-08-20
171006,2022-10-06
171239,2022-07-16
171448,2022-09-12
171464,2022-10-21
171530,2022-11-02
171571,2023-03-30
171583,2023-03-27
171645,2023-01-30
171650,2023-01-03
172030,2022-11-07
172054,2022-07-11
172064,2022-09-15
172173,2022-11-29
172246,2023-01-04
172440,2022-12-02
172487,2022-10-18
172511,2022-10-24
172564,2022-11-25
172645,2023-02-22
172788,2022-09-08
172820,2022-09-19
172887,2022-11-24
172925,2022-09-20
172952,2022-11-29
173212,2022-11-21
173243,2022-11-21
173467,2023-01-19
